,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
0,3.0,4.0,138,40
1,3.0,4.0,342,40
2,23.0,4.0,349,40
3,20.0,4.0,349,40
4,23.0,4.0,138,40
5,23.0,4.0,66,40
6,3.0,4.0,138,10
7,3.0,4.0,342,10
8,23.0,4.0,349,10
9,20.0,4.0,349,10
10,23.0,4.0,138,10
11,23.0,4.0,66,10
12,3.0,4.0,138,46
13,3.0,4.0,342,46
14,23.0,4.0,349,46
15,20.0,4.0,349,46
16,23.0,4.0,138,46
17,23.0,4.0,66,46
18,3.0,4.0,299,40
19,22.0,4.0,328,40
20,22.0,4.0,1,40
21,22.0,4.0,131,40
22,3.0,4.0,299,61
23,22.0,4.0,328,61
24,22.0,4.0,1,61
25,22.0,4.0,131,61
26,3.0,4.0,299,22
27,22.0,4.0,328,22
28,22.0,4.0,1,22
29,22.0,4.0,131,22
30,1.0,4.0,136,71
31,10.0,4.0,154,71
32,10.0,4.0,184,71
33,1.0,4.0,136,61
34,10.0,4.0,154,61
35,10.0,4.0,184,61
36,1.0,4.0,136,13
37,10.0,4.0,154,13
38,10.0,4.0,184,13
39,1.0,4.0,136,22
40,10.0,4.0,154,22
41,10.0,4.0,184,22
42,1.0,4.0,136,62
43,10.0,4.0,154,62
44,10.0,4.0,184,62
45,1.0,4.0,136,30
46,10.0,4.0,154,30
47,10.0,4.0,184,30
48,3.0,5.0,356,61
49,3.0,5.0,367,61
50,3.0,5.0,378,61
51,3.0,5.0,152,61
52,3.0,5.0,356,22
53,3.0,5.0,367,22
54,3.0,5.0,378,22
55,3.0,5.0,152,22
56,3.0,5.0,356,62
57,3.0,5.0,367,62
58,3.0,5.0,378,62
59,3.0,5.0,152,62
60,9.0,5.0,366,29
61,9.0,5.0,366,29
62,9.0,5.0,365,29
63,9.0,5.0,366,61
64,9.0,5.0,366,61
65,9.0,5.0,365,61
66,9.0,5.0,366,36
67,9.0,5.0,366,36
68,9.0,5.0,365,36
69,9.0,5.0,366,29
70,9.0,5.0,366,29
71,9.0,5.0,365,29
72,9.0,5.0,366,61
73,9.0,5.0,366,61
74,9.0,5.0,365,61
75,9.0,5.0,366,36
76,9.0,5.0,366,36
77,9.0,5.0,365,36
78,2.0,4.0,419,71
79,2.0,4.0,419,40
80,2.0,4.0,419,46
81,2.0,4.0,419,22
82,2.0,4.0,419,71
83,2.0,4.0,419,40
84,2.0,4.0,419,46
85,2.0,4.0,419,22
86,2.0,4.0,419,71
87,2.0,4.0,419,40
88,2.0,4.0,419,46
89,2.0,4.0,419,22
90,3.0,5.0,138,40
91,3.0,5.0,342,40
92,23.0,5.0,349,40
93,20.0,5.0,349,40
94,23.0,5.0,138,40
95,23.0,5.0,66,40
96,3.0,5.0,138,10
97,3.0,5.0,342,10
98,23.0,5.0,349,10
99,20.0,5.0,349,10
100,23.0,5.0,138,10
101,23.0,5.0,66,10
102,3.0,5.0,138,46
103,3.0,5.0,342,46
104,23.0,5.0,349,46
105,20.0,5.0,349,46
106,23.0,5.0,138,46
107,23.0,5.0,66,46
108,1.0,4.0,119,53
109,1.0,4.0,63,53
110,1.0,4.0,293,53
111,1.0,4.0,270,53
112,1.0,4.0,270,53
113,1.0,4.0,272,53
114,20.0,4.0,273,53
115,20.0,4.0,111,53
116,1.0,4.0,119,28
117,1.0,4.0,63,28
118,1.0,4.0,293,28
119,1.0,4.0,270,28
120,1.0,4.0,270,28
121,1.0,4.0,272,28
122,20.0,4.0,273,28
123,20.0,4.0,111,28
124,1.0,4.0,119,51
125,1.0,4.0,63,51
126,1.0,4.0,293,51
127,1.0,4.0,270,51
128,1.0,4.0,270,51
129,1.0,4.0,272,51
130,20.0,4.0,273,51
131,20.0,4.0,111,51
132,1.0,4.0,119,23
133,1.0,4.0,63,23
134,1.0,4.0,293,23
135,1.0,4.0,270,23
136,1.0,4.0,270,23
137,1.0,4.0,272,23
138,20.0,4.0,273,23
139,20.0,4.0,111,23
140,3.0,5.0,138,40
141,3.0,5.0,342,40
142,23.0,5.0,349,40
143,20.0,5.0,349,40
144,23.0,5.0,138,40
145,23.0,5.0,66,40
146,3.0,5.0,138,10
147,3.0,5.0,342,10
148,23.0,5.0,349,10
149,20.0,5.0,349,10
150,23.0,5.0,138,10
151,23.0,5.0,66,10
152,3.0,5.0,138,46
153,3.0,5.0,342,46
154,23.0,5.0,349,46
155,20.0,5.0,349,46
156,23.0,5.0,138,46
157,23.0,5.0,66,46
158,3.0,5.0,138,40
159,3.0,5.0,342,40
160,23.0,5.0,349,40
161,20.0,5.0,349,40
162,23.0,5.0,138,40
163,23.0,5.0,66,40
164,3.0,5.0,138,10
165,3.0,5.0,342,10
166,23.0,5.0,349,10
167,20.0,5.0,349,10
168,23.0,5.0,138,10
169,23.0,5.0,66,10
170,3.0,5.0,138,46
171,3.0,5.0,342,46
172,23.0,5.0,349,46
173,20.0,5.0,349,46
174,23.0,5.0,138,46
175,23.0,5.0,66,46
176,3.0,5.0,138,40
177,3.0,5.0,342,40
178,23.0,5.0,349,40
179,20.0,5.0,349,40
180,23.0,5.0,138,40
181,23.0,5.0,66,40
182,3.0,5.0,138,10
183,3.0,5.0,342,10
184,23.0,5.0,349,10
185,20.0,5.0,349,10
186,23.0,5.0,138,10
187,23.0,5.0,66,10
188,3.0,5.0,138,46
189,3.0,5.0,342,46
190,23.0,5.0,349,46
191,20.0,5.0,349,46
192,23.0,5.0,138,46
193,23.0,5.0,66,46
194,7.0,4.0,338,61
195,8.0,4.0,206,61
196,7.0,4.0,338,13
197,8.0,4.0,206,13
198,7.0,4.0,338,22
199,8.0,4.0,206,22
200,7.0,4.0,338,62
201,8.0,4.0,206,62
202,7.0,4.0,338,61
203,8.0,4.0,206,61
204,7.0,4.0,338,13
205,8.0,4.0,206,13
206,7.0,4.0,338,22
207,8.0,4.0,206,22
208,7.0,4.0,338,62
209,8.0,4.0,206,62
210,8.0,4.0,299,61
211,8.0,4.0,299,61
212,8.0,4.0,86,61
213,8.0,4.0,346,61
214,8.0,4.0,299,61
215,8.0,4.0,299,61
216,8.0,4.0,86,61
217,8.0,4.0,346,61
218,8.0,4.0,299,61
219,8.0,4.0,299,61
220,8.0,4.0,86,61
221,8.0,4.0,346,61
222,8.0,4.0,299,61
223,8.0,4.0,299,61
224,8.0,4.0,86,61
225,8.0,4.0,346,61
226,8.0,4.0,300,61
227,8.0,4.0,161,61
228,22.0,4.0,376,61
229,25.0,4.0,157,61
230,25.0,4.0,403,61
231,8.0,4.0,300,22
232,8.0,4.0,161,22
233,22.0,4.0,376,22
234,25.0,4.0,157,22
235,25.0,4.0,403,22
236,8.0,4.0,300,62
237,8.0,4.0,161,62
238,22.0,4.0,376,62
239,25.0,4.0,157,62
240,25.0,4.0,403,62
241,8.0,4.0,300,77
242,8.0,4.0,161,77
243,22.0,4.0,376,77
244,25.0,4.0,157,77
245,25.0,4.0,403,77
246,8.0,4.0,300,61
247,8.0,4.0,161,61
248,22.0,4.0,376,61
249,25.0,4.0,157,61
250,25.0,4.0,403,61
251,8.0,4.0,300,22
252,8.0,4.0,161,22
253,22.0,4.0,376,22
254,25.0,4.0,157,22
255,25.0,4.0,403,22
256,8.0,4.0,300,62
257,8.0,4.0,161,62
258,22.0,4.0,376,62
259,25.0,4.0,157,62
260,25.0,4.0,403,62
261,8.0,4.0,300,77
262,8.0,4.0,161,77
263,22.0,4.0,376,77
264,25.0,4.0,157,77
265,25.0,4.0,403,77
266,21.0,2.0,46,71
267,21.0,2.0,46,40
268,21.0,2.0,46,61
269,21.0,2.0,46,22
270,21.0,2.0,46,62
271,21.0,2.0,46,71
272,21.0,2.0,46,40
273,21.0,2.0,46,61
274,21.0,2.0,46,22
275,21.0,2.0,46,62
276,14.0,4.0,155,40
277,14.0,4.0,188,40
278,14.0,4.0,188,40
279,14.0,4.0,155,29
280,14.0,4.0,188,29
281,14.0,4.0,188,29
282,14.0,4.0,155,46
283,14.0,4.0,188,46
284,14.0,4.0,188,46
285,14.0,4.0,155,61
286,14.0,4.0,188,61
287,14.0,4.0,188,61
288,14.0,4.0,155,22
289,14.0,4.0,188,22
290,14.0,4.0,188,22
291,14.0,4.0,155,40
292,14.0,4.0,188,40
293,14.0,4.0,188,40
294,14.0,4.0,155,29
295,14.0,4.0,188,29
296,14.0,4.0,188,29
297,14.0,4.0,155,46
298,14.0,4.0,188,46
299,14.0,4.0,188,46
300,14.0,4.0,155,61
301,14.0,4.0,188,61
302,14.0,4.0,188,61
303,14.0,4.0,155,22
304,14.0,4.0,188,22
305,14.0,4.0,188,22
306,14.0,4.0,155,40
307,14.0,4.0,188,40
308,14.0,4.0,188,40
309,14.0,4.0,155,29
310,14.0,4.0,188,29
311,14.0,4.0,188,29
312,14.0,4.0,155,46
313,14.0,4.0,188,46
314,14.0,4.0,188,46
315,14.0,4.0,155,61
316,14.0,4.0,188,61
317,14.0,4.0,188,61
318,14.0,4.0,155,22
319,14.0,4.0,188,22
320,14.0,4.0,188,22
321,12.0,2.0,382,61
322,12.0,2.0,389,61
323,12.0,2.0,382,22
324,12.0,2.0,389,22
325,12.0,2.0,382,62
326,12.0,2.0,389,62
327,12.0,2.0,382,61
328,12.0,2.0,389,61
329,12.0,2.0,382,22
330,12.0,2.0,389,22
331,12.0,2.0,382,62
332,12.0,2.0,389,62
333,20.0,5.0,43,71
334,20.0,5.0,382,71
335,20.0,5.0,43,10
336,20.0,5.0,382,10
337,20.0,5.0,43,29
338,20.0,5.0,382,29
339,20.0,5.0,43,61
340,20.0,5.0,382,61
341,20.0,5.0,43,13
342,20.0,5.0,382,13
343,20.0,5.0,43,22
344,20.0,5.0,382,22
345,20.0,5.0,43,2
346,20.0,5.0,382,2
347,20.0,5.0,43,8
348,20.0,5.0,382,8
349,20.0,5.0,43,52
350,20.0,5.0,382,52
351,20.0,5.0,43,71
352,20.0,5.0,382,71
353,20.0,5.0,43,10
354,20.0,5.0,382,10
355,20.0,5.0,43,29
356,20.0,5.0,382,29
357,20.0,5.0,43,61
358,20.0,5.0,382,61
359,20.0,5.0,43,13
360,20.0,5.0,382,13
361,20.0,5.0,43,22
362,20.0,5.0,382,22
363,20.0,5.0,43,2
364,20.0,5.0,382,2
365,20.0,5.0,43,8
366,20.0,5.0,382,8
367,20.0,5.0,43,52
368,20.0,5.0,382,52
369,20.0,5.0,43,71
370,20.0,5.0,382,71
371,20.0,5.0,43,10
372,20.0,5.0,382,10
373,20.0,5.0,43,29
374,20.0,5.0,382,29
375,20.0,5.0,43,61
376,20.0,5.0,382,61
377,20.0,5.0,43,13
378,20.0,5.0,382,13
379,20.0,5.0,43,22
380,20.0,5.0,382,22
381,20.0,5.0,43,2
382,20.0,5.0,382,2
383,20.0,5.0,43,8
384,20.0,5.0,382,8
385,20.0,5.0,43,52
386,20.0,5.0,382,52
387,20.0,5.0,261,61
388,20.0,5.0,260,61
389,20.0,5.0,12,61
390,20.0,5.0,261,58
391,20.0,5.0,260,58
392,20.0,5.0,12,58
393,9.0,5.0,178,71
394,9.0,5.0,304,71
395,9.0,5.0,207,71
396,9.0,5.0,265,71
397,9.0,5.0,133,71
398,9.0,5.0,81,71
399,9.0,5.0,178,40
400,9.0,5.0,304,40
401,9.0,5.0,207,40
402,9.0,5.0,265,40
403,9.0,5.0,133,40
404,9.0,5.0,81,40
405,9.0,5.0,178,10
406,9.0,5.0,304,10
407,9.0,5.0,207,10
408,9.0,5.0,265,10
409,9.0,5.0,133,10
410,9.0,5.0,81,10
411,9.0,5.0,178,11
412,9.0,5.0,304,11
413,9.0,5.0,207,11
414,9.0,5.0,265,11
415,9.0,5.0,133,11
416,9.0,5.0,81,11
417,9.0,5.0,178,61
418,9.0,5.0,304,61
419,9.0,5.0,207,61
420,9.0,5.0,265,61
421,9.0,5.0,133,61
422,9.0,5.0,81,61
423,9.0,5.0,178,22
424,9.0,5.0,304,22
425,9.0,5.0,207,22
426,9.0,5.0,265,22
427,9.0,5.0,133,22
428,9.0,5.0,81,22
429,9.0,5.0,178,62
430,9.0,5.0,304,62
431,9.0,5.0,207,62
432,9.0,5.0,265,62
433,9.0,5.0,133,62
434,9.0,5.0,81,62
435,9.0,5.0,366,29
436,9.0,5.0,366,29
437,9.0,5.0,365,29
438,9.0,5.0,366,61
439,9.0,5.0,366,61
440,9.0,5.0,365,61
441,9.0,5.0,366,36
442,9.0,5.0,366,36
443,9.0,5.0,365,36
444,9.0,5.0,366,29
445,9.0,5.0,366,29
446,9.0,5.0,365,29
447,9.0,5.0,366,61
448,9.0,5.0,366,61
449,9.0,5.0,365,61
450,9.0,5.0,366,36
451,9.0,5.0,366,36
452,9.0,5.0,365,36
453,6.0,4.0,101,40
454,6.0,4.0,101,61
455,6.0,4.0,101,22
456,6.0,4.0,101,13
457,6.0,4.0,101,101
458,6.0,4.0,101,40
459,6.0,4.0,101,61
460,6.0,4.0,101,22
461,6.0,4.0,101,13
462,6.0,4.0,101,101
463,7.0,4.0,338,61
464,8.0,4.0,206,61
465,7.0,4.0,338,13
466,8.0,4.0,206,13
467,7.0,4.0,338,22
468,8.0,4.0,206,22
469,7.0,4.0,338,62
470,8.0,4.0,206,62
471,7.0,4.0,338,61
472,8.0,4.0,206,61
473,7.0,4.0,338,13
474,8.0,4.0,206,13
475,7.0,4.0,338,22
476,8.0,4.0,206,22
477,7.0,4.0,338,62
478,8.0,4.0,206,62
479,24.0,4.0,276,61
480,24.0,4.0,95,61
481,24.0,4.0,277,61
482,24.0,4.0,208,61
483,24.0,4.0,276,22
484,24.0,4.0,95,22
485,24.0,4.0,277,22
486,24.0,4.0,208,22
487,13.0,5.0,70,13
488,13.0,5.0,70,22
489,13.0,5.0,70,62
490,8.0,2.0,300,61
491,8.0,2.0,161,61
492,22.0,2.0,376,61
493,25.0,2.0,157,61
494,25.0,2.0,403,61
495,8.0,2.0,300,22
496,8.0,2.0,161,22
497,22.0,2.0,376,22
498,25.0,2.0,157,22
499,25.0,2.0,403,22
500,8.0,2.0,300,62
501,8.0,2.0,161,62
502,22.0,2.0,376,62
503,25.0,2.0,157,62
504,25.0,2.0,403,62
505,8.0,2.0,300,77
506,8.0,2.0,161,77
507,22.0,2.0,376,77
508,25.0,2.0,157,77
509,25.0,2.0,403,77
510,8.0,2.0,300,61
511,8.0,2.0,161,61
512,22.0,2.0,376,61
513,25.0,2.0,157,61
514,25.0,2.0,403,61
515,8.0,2.0,300,22
516,8.0,2.0,161,22
517,22.0,2.0,376,22
518,25.0,2.0,157,22
519,25.0,2.0,403,22
520,8.0,2.0,300,62
521,8.0,2.0,161,62
522,22.0,2.0,376,62
523,25.0,2.0,157,62
524,25.0,2.0,403,62
525,8.0,2.0,300,77
526,8.0,2.0,161,77
527,22.0,2.0,376,77
528,25.0,2.0,157,77
529,25.0,2.0,403,77
530,8.0,2.0,300,61
531,8.0,2.0,161,61
532,22.0,2.0,376,61
533,25.0,2.0,157,61
534,25.0,2.0,403,61
535,8.0,2.0,300,22
536,8.0,2.0,161,22
537,22.0,2.0,376,22
538,25.0,2.0,157,22
539,25.0,2.0,403,22
540,8.0,2.0,300,62
541,8.0,2.0,161,62
542,22.0,2.0,376,62
543,25.0,2.0,157,62
544,25.0,2.0,403,62
545,8.0,2.0,300,77
546,8.0,2.0,161,77
547,22.0,2.0,376,77
548,25.0,2.0,157,77
549,25.0,2.0,403,77
550,19.0,4.0,406,22
551,5.0,4.0,35,22
552,5.0,4.0,49,22
553,19.0,4.0,406,95
554,5.0,4.0,35,95
555,5.0,4.0,49,95
556,19.0,4.0,406,102
557,5.0,4.0,35,102
558,5.0,4.0,49,102
559,19.0,4.0,406,22
560,5.0,4.0,35,22
561,5.0,4.0,49,22
562,19.0,4.0,406,95
563,5.0,4.0,35,95
564,5.0,4.0,49,95
565,19.0,4.0,406,102
566,5.0,4.0,35,102
567,5.0,4.0,49,102
568,26.0,5.0,87,61
569,26.0,5.0,169,61
570,26.0,5.0,87,22
571,26.0,5.0,169,22
572,26.0,5.0,87,52
573,26.0,5.0,169,52
574,26.0,5.0,87,50
575,26.0,5.0,169,50
576,26.0,5.0,87,61
577,26.0,5.0,169,61
578,26.0,5.0,87,22
579,26.0,5.0,169,22
580,26.0,5.0,87,52
581,26.0,5.0,169,52
582,26.0,5.0,87,50
583,26.0,5.0,169,50
584,26.0,5.0,87,61
585,26.0,5.0,169,61
586,26.0,5.0,87,22
587,26.0,5.0,169,22
588,26.0,5.0,87,52
589,26.0,5.0,169,52
590,26.0,5.0,87,50
591,26.0,5.0,169,50
592,22.0,5.0,415,61
593,22.0,5.0,394,61
594,22.0,5.0,393,61
595,22.0,5.0,416,61
596,22.0,5.0,393,61
597,22.0,5.0,415,22
598,22.0,5.0,394,22
599,22.0,5.0,393,22
600,22.0,5.0,416,22
601,22.0,5.0,393,22
602,3.0,4.0,361,71
603,3.0,4.0,309,71
604,3.0,4.0,305,71
605,3.0,4.0,361,40
606,3.0,4.0,309,40
607,3.0,4.0,305,40
608,3.0,4.0,361,61
609,3.0,4.0,309,61
610,3.0,4.0,305,61
611,3.0,4.0,361,13
612,3.0,4.0,309,13
613,3.0,4.0,305,13
614,3.0,4.0,361,22
615,3.0,4.0,309,22
616,3.0,4.0,305,22
617,3.0,4.0,361,62
618,3.0,4.0,309,62
619,3.0,4.0,305,62
620,3.0,4.0,361,71
621,3.0,4.0,309,71
622,3.0,4.0,305,71
623,3.0,4.0,361,40
624,3.0,4.0,309,40
625,3.0,4.0,305,40
626,3.0,4.0,361,61
627,3.0,4.0,309,61
628,3.0,4.0,305,61
629,3.0,4.0,361,13
630,3.0,4.0,309,13
631,3.0,4.0,305,13
632,3.0,4.0,361,22
633,3.0,4.0,309,22
634,3.0,4.0,305,22
635,3.0,4.0,361,62
636,3.0,4.0,309,62
637,3.0,4.0,305,62
638,17.0,4.0,219,22
639,17.0,4.0,75,22
640,17.0,4.0,219,23
641,17.0,4.0,75,23
642,22.0,4.0,415,61
643,22.0,4.0,394,61
644,22.0,4.0,393,61
645,22.0,4.0,416,61
646,22.0,4.0,393,61
647,22.0,4.0,415,22
648,22.0,4.0,394,22
649,22.0,4.0,393,22
650,22.0,4.0,416,22
651,22.0,4.0,393,22
652,22.0,4.0,41,40
653,22.0,4.0,253,40
654,22.0,4.0,41,40
655,22.0,4.0,41,10
656,22.0,4.0,253,10
657,22.0,4.0,41,10
658,22.0,4.0,41,11
659,22.0,4.0,253,11
660,22.0,4.0,41,11
661,22.0,4.0,41,61
662,22.0,4.0,253,61
663,22.0,4.0,41,61
